cluster,Customers,total_orders,total_products,avg_days_between_orders,reorder_ratio,avg_cart_size,preferred_hour,TotalCustomers,NumClusters,SilhouetteScore,Model,GeneratedAt
0,221,90.4,60.75,3.64,0.79,10.99,12.93,1324,4,0.1589,KMeans,2026-02-14T09:34:01.485025Z
1,413,85.75,22.73,4.06,0.83,5.3,12.62,1324,4,0.1589,KMeans,2026-02-14T09:34:01.485025Z
2,406,95.89,23.49,2.79,0.83,5.12,12.26,1324,4,0.1589,KMeans,2026-02-14T09:34:01.485025Z
3,284,91.24,21.75,2.74,0.59,5.38,14.39,1324,4,0.1589,KMeans,2026-02-14T09:34:01.485025Z
